"area_symbol","county_name","state_name","x_centroid","y_centroid","soil_quality","carbon","water","Year","State","% Excellent_1","% Good_1","% Fair_1","% Poor_1","% Very Poor_1","% Excellent_2","% Good_2","% Fair_2","% Poor_2","% Very Poor_2","% Excellent_3","% Good_3","% Fair_3","% Poor_3","% Very Poor_3","% Excellent_4","% Good_4","% Fair_4","% Poor_4","% Very Poor_4","% Excellent_5","% Good_5","% Fair_5","% Poor_5","% Very Poor_5","% Excellent_6","% Good_6","% Fair_6","% Poor_6","% Very Poor_6","% Excellent_7","% Good_7","% Fair_7","% Poor_7","% Very Poor_7","% Excellent_8","% Good_8","% Fair_8","% Poor_8","% Very Poor_8","% Excellent_9","% Good_9","% Fair_9","% Poor_9","% Very Poor_9","% Excellent_10","% Good_10","% Fair_10","% Poor_10","% Very Poor_10","% Excellent_11","% Good_11","% Fair_11","% Poor_11","% Very Poor_11","% Excellent_12","% Good_12","% Fair_12","% Poor_12","% Very Poor_12","% Excellent_13","% Good_13","% Fair_13","% Poor_13","% Very Poor_13","% Excellent_14","% Good_14","% Fair_14","% Poor_14","% Very Poor_14","% Excellent_15","% Good_15","% Fair_15","% Poor_15","% Very Poor_15","% Excellent_16","% Good_16","% Fair_16","% Poor_16","% Very Poor_16","% Excellent_17","% Good_17","% Fair_17","% Poor_17","% Very Poor_17","% Excellent_18","% Good_18","% Fair_18","% Poor_18","% Very Poor_18","% Excellent_19","% Good_19","% Fair_19","% Poor_19","% Very Poor_19","% Excellent_20","% Good_20","% Fair_20","% Poor_20","% Very Poor_20","% Excellent_21","% Good_21","% Fair_21","% Poor_21","% Very Poor_21","% Excellent_22","% Good_22","% Fair_22","% Poor_22","% Very Poor_22","% Excellent_23","% Good_23","% Fair_23","% Poor_23","% Very Poor_23","Temperature_0.0","Temperature_1.0","Temperature_2.0","Temperature_3.0","Temperature_4.0","Temperature_5.0","Temperature_6.0","Temperature_7.0","Temperature_8.0","Temperature_9.0","Temperature_10.0","Temperature_11.0","Temperature_12.0","Temperature_13.0","Temperature_14.0","Temperature_15.0","Temperature_16.0","Temperature_17.0","Temperature_18.0","Temperature_19.0","Temperature_20.0","Vegetation_0.0","Vegetation_1.0","Vegetation_2.0","Vegetation_3.0","Vegetation_4.0","Vegetation_5.0","Vegetation_6.0","Vegetation_7.0","Vegetation_8.0","Vegetation_9.0","Vegetation_10.0","Vegetation_11.0","Vegetation_12.0","Vegetation_13.0","Vegetation_14.0","Vegetation_15.0","Vegetation_16.0","Vegetation_17.0","Vegetation_18.0","Vegetation_19.0","Vegetation_20.0","Yield","area_harvested"
"AR007","Benton County","Arkansas","0.280711707","122.5903575","732.5700947","","","2001","ARKANSAS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","73.11372354","14.11606769","65.05950822","27.40802524","60.30416834","12.19023956","43.90194925","39.33670546","75.47893885","72.95965854","51.01705049","40.05971272","14.66045078","17.9732952","39.63072241","62.93882759","46.98747864","49.26644007","30.48166288","45.658816","6.818778544","0.424967752","0.333562175","-0.840611776","-0.28602383","0.190872716","-0.609338916","-0.738415021","-0.840530019","0.133368049","-0.039484027","0.598619881","-0.058047378","0.609196993","0.239069261","0.005805187","0.829895109","0.142791339","0.071299783","-0.812305885","0.152814984","-0.899177152","",""
"AR007","Benton County","Arkansas","0.280711707","122.5903575","732.5700947","","","2002","ARKANSAS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","73.50909052","57.67255097","6.966271049","20.50439517","70.75423716","22.37732661","9.774338283","23.6941471","73.0967847","66.05380413","44.66440662","18.98539217","51.00567218","43.03797412","72.00059497","42.85804726","22.15575","29.26188245","45.31495304","32.01360164","38.26297361","0.212015359","-0.421079353","-0.739840377","0.858272896","0.11392352","-0.000650999","0.374636855","0.766399861","0.368844328","-0.653718593","-0.066119335","-0.057740821","-0.457447711","0.701390858","-0.980974701","0.36138479","0.91473475","0.127363745","0.544745127","-0.448173174","0.012657564","",""
"AR007","Benton County","Arkansas","0.280711707","122.5903575","732.5700947","","","2003","ARKANSAS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.47796156","62.91893912","36.14311183","60.65858176","51.03488832","1.107402131","38.42686538","44.06717427","11.45717883","53.17230817","56.85875109","11.89626236","57.98330973","57.94285786","61.98949935","54.76675214","31.02348205","34.51593082","24.85505935","16.8835962","26.45328792","-0.037909992","0.728029084","0.572294123","0.139369176","0.047898403","0.806536651","-0.882357678","-0.104214846","-0.925937982","-0.375871876","0.475511983","0.033952293","-0.262029196","0.112268554","-0.080063356","0.37142218","0.956623404","0.15471281","0.838018277","0.150695255","0.63008495","",""
"AR007","Benton County","Arkansas","0.280711707","122.5903575","732.5700947","","","2004","ARKANSAS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.06263292","42.01047663","18.43397611","12.70130124","63.47053572","42.22917338","18.197759","21.56143124","71.13516917","43.5209333","65.9112576","61.01424995","77.96251316","13.16516902","55.72614659","4.134814191","14.61944438","69.24110317","55.456488","66.35610119","60.98876796","0.784603793","-0.344981166","0.863990343","0.084784141","0.7317929","0.322149969","-0.364520983","-0.083730615","0.059956799","-0.018688541","-0.347878944","0.658093329","-0.351293858","0.818537638","-0.0437355","0.145543828","-0.699194211","-0.278487985","0.371707852","-0.580568043","-0.856515103","",""
"AR007","Benton County","Arkansas","0.280711707","122.5903575","732.5700947","","","2005","ARKANSAS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.53802396","20.7917331","50.02682113","48.96321234","26.85905146","70.3864226","52.88236774","5.870688007","20.75590705","76.30207996","44.61130806","33.13725142","22.83843125","76.6564497","79.04074722","5.008025201","63.7509908","63.80967337","44.00886883","34.12575143","37.16803095","-0.972482168","0.896498044","0.595328215","-0.46177358","0.400324022","-0.578021656","-0.786351059","0.875044289","-0.712651768","0.842397667","-0.506281481","0.071010046","-0.037089075","-0.076742747","0.943918901","0.002595194","-0.751423765","-0.167579861","0.991454683","0.396368499","0.564150196","",""
"AR007","Benton County","Arkansas","0.280711707","122.5903575","732.5700947","","","2006","ARKANSAS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.78550109","32.81295715","73.58951104","17.34458584","37.73055366","8.192837126","21.19342819","71.7652431","76.71554078","68.57215264","30.39538479","29.57992544","36.49653595","79.64739393","64.0806607","24.17443721","41.34372134","44.73519075","19.47107374","79.39380819","60.95944836","-0.507104194","-0.960598276","-0.851862058","-0.419229201","-0.499505719","0.139418849","0.069460693","0.374473677","0.249136447","-0.707070482","-0.805558103","-0.524982137","-0.443224757","0.735675811","0.546187614","-0.955083545","-0.644479032","0.465309784","-0.418158231","0.820040523","-0.871223947","",""
"AR007","Benton County","Arkansas","0.280711707","122.5903575","732.5700947","","","2007","ARKANSAS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.16486791","54.33340309","41.54999293","54.36781658","6.710460482","53.18570654","32.73489217","32.9255345","52.8546836","39.97389608","35.11446343","56.92937812","54.81195763","70.22566433","58.50496651","14.05635862","36.98478943","26.55664385","6.003399677","79.11336907","37.81349677","0.173357629","0.31035075","-0.020245437","0.416951871","-0.134671879","-0.965877953","0.889852967","0.469964159","-0.912412702","0.266764302","-0.398064206","0.309036899","-0.099247064","-0.292782101","-0.447974232","-0.451272955","-0.116991465","-0.445750167","-0.566507743","0.720260336","0.796514386","","8"
"AR007","Benton County","Arkansas","0.280711707","122.5903575","732.5700947","","","2008","ARKANSAS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","62.82054433","65.74058944","34.41853527","1.650881062","59.50291729","70.52335708","2.933129095","65.55298686","20.15788101","51.02856986","37.82429887","68.33618285","77.76402366","12.80545776","5.583121574","42.41268044","30.35071567","71.255478","45.81554508","70.0093745","72.66656344","-0.974221497","0.968591102","-0.413308267","-0.448017013","0.491875847","-0.290327848","-0.646373033","0.937242447","-0.245817617","0.443678552","-0.767869242","-0.333540401","-0.22802405","-0.401107306","0.144995337","0.239029972","-0.002416304","0.512611557","-0.816934221","-0.558921662","-0.194551506","",""
"AR007","Benton County","Arkansas","0.280711707","122.5903575","732.5700947","","","2009","ARKANSAS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.0334196","50.69264204","63.28642883","49.53636328","12.45210427","17.76799892","23.67739014","64.73821628","76.46546896","68.11211364","43.16012726","73.97183985","12.60282951","7.384734798","30.58753124","12.97055945","11.94651212","62.4596783","39.12907012","70.56938454","40.95393065","0.512161045","0.674631597","0.262973987","-0.254563794","0.217747754","-0.273942348","0.497499961","0.953371782","0.966302149","-0.038686411","-0.151052813","-0.571435189","-0.113015965","-0.922346613","-0.404279592","0.968868826","-0.220445629","-0.891991538","0.801973336","-0.436580054","0.711924454","",""
"AR007","Benton County","Arkansas","0.280711707","122.5903575","732.5700947","","","2010","ARKANSAS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56.58739367","63.68785772","16.41743728","59.51720796","6.122577385","20.24792472","38.18590395","2.269789853","24.63838183","23.15026314","5.390467043","11.7953883","29.45805772","30.44126524","56.16710478","35.79752805","13.54758131","58.36157068","58.21778811","39.42020975","22.12971064","0.53466032","0.143832636","-0.892420824","0.617998879","-0.997259614","0.64810703","0.154777769","-0.744010997","-0.246801958","0.759640185","-0.409367631","0.508063564","-0.940482856","0.981981274","0.519363884","0.960768786","0.560971678","-0.874821956","0.008328054","-0.900382784","-0.720093041","",""
